sample_idx,bs_precision,bs_recall,bs_f1
0,0.3237,0.8477,0.5460
1,0.7671,0.5770,0.6682
2,0.2366,0.3567,0.2968
3,0.0884,0.2850,0.1823
4,0.1886,0.0123,0.0975
5,0.9232,0.3282,0.5753
6,0.1025,0.0354,0.0717
7,0.4281,0.4500,0.4412
8,0.4217,-0.1683,0.0579
9,1.0000,1.0000,1.0000
10,0.1882,0.1762,0.1855
11,0.4354,0.7374,0.5743
12,0.5010,0.1186,0.2863
13,0.3168,0.8015,0.5250
14,0.4246,0.3150,0.3702
15,0.2017,0.6858,0.4074
16,0.6525,0.7359,0.6945
17,0.2764,0.2759,0.2791
18,0.7745,0.9050,0.8381
19,0.4557,0.6008,0.5269
20,0.8576,0.6812,0.7661
21,0.6294,0.5530,0.5920
22,0.0361,0.4853,0.2259
23,0.1808,0.5919,0.3599
24,0.8616,0.7563,0.8083
25,0.9135,0.9465,0.9302
26,0.4473,0.7065,0.5684
27,0.1559,0.1195,0.1409
28,0.5848,0.3545,0.4632
29,0.9360,0.8874,0.9118
30,0.4264,0.6797,0.5450
31,0.4527,0.1323,0.2767
32,-0.1023,0.2305,0.0435
33,0.8872,0.7753,0.8303
34,0.2189,0.7097,0.4273
35,0.6578,0.5190,0.5872
36,0.7784,0.7783,0.7792
37,0.1813,0.6513,0.3816
38,0.1285,0.5571,0.3130
39,0.1982,0.5708,0.3632
40,0.1286,0.6932,0.3596
41,0.2601,0.3581,0.3101
42,0.7261,0.8406,0.7824
43,0.0992,-0.2878,-0.1281
44,0.1267,0.3697,0.2401
45,0.3569,0.3373,0.3497
46,0.1744,0.6973,0.3929
47,0.4507,0.8886,0.6435
48,0.5763,0.1348,0.3241
49,0.3615,0.8506,0.5721
50,0.7802,0.8946,0.8363
51,-0.1022,-0.2082,-0.1536
52,0.6846,0.3521,0.5030
53,0.4868,0.7078,0.5916
54,0.3301,0.6345,0.4695
55,0.1574,0.4109,0.2752
56,0.6791,0.7636,0.7215
57,0.1988,0.6400,0.3891
58,0.6524,0.5888,0.6215
59,0.5798,0.2941,0.4258
60,0.7639,0.3766,0.5493
61,0.9365,0.9117,0.9243
62,0.7789,0.4788,0.6172
63,0.4584,0.2984,0.3765
64,0.6410,0.6831,0.6632
65,0.8527,0.8887,0.8710
66,0.7401,0.4111,0.5610
67,0.4149,0.2072,0.3060
68,0.6832,0.2745,0.4541
69,0.3562,0.6621,0.4963
70,0.4357,0.0990,0.2493
71,0.2885,0.0747,0.1758
72,0.0691,0.4155,0.2225
73,1.0000,1.0000,1.0000
74,-0.0047,0.4799,0.1959
75,0.6204,0.5264,0.5738
76,-0.0550,0.2751,0.0906
77,0.8249,0.4751,0.6338
78,0.1548,0.6860,0.3755
79,-0.0380,0.0907,0.0265
80,0.5867,0.5428,0.5662
81,0.5671,0.9511,0.7399
82,0.1138,0.2744,0.1923
83,0.3470,0.4273,0.3885
84,0.2404,0.6276,0.4114
85,0.4419,0.5113,0.4779
86,0.1280,0.6851,0.3566
87,0.3592,0.6225,0.4818
88,0.9774,0.9803,0.9789
89,0.6925,0.6301,0.6621
90,0.7221,0.4993,0.6049
91,0.6199,0.5446,0.5831
92,0.9543,0.9373,0.9460
93,0.7601,0.7107,0.7362
94,0.1087,0.1819,0.1477
95,0.4720,0.3473,0.4094
96,0.1177,0.6085,0.3237
97,0.7886,0.7410,0.7654
98,0.3909,0.6299,0.5034
99,0.2310,-0.1731,-0.0041
100,0.7670,0.7744,0.7716
101,0.0408,0.4108,0.2025
102,0.4922,0.2644,0.3719
103,0.8206,0.3286,0.5397
104,0.0991,0.7143,0.3452
105,0.2624,0.6805,0.4453
106,0.1755,0.7816,0.4215
107,0.4637,0.3888,0.4276
108,0.3471,0.7851,0.5386
109,0.8238,0.6697,0.7446
110,0.4438,0.1840,0.3045
111,0.4568,0.0903,0.2516
112,0.9045,0.5718,0.7240
113,0.8444,0.9238,0.8838
114,0.3659,0.3267,0.3487
115,0.8049,0.8270,0.8166
116,0.7523,0.4859,0.6102
117,0.5743,0.6462,0.6110
118,0.2999,0.6448,0.4552
119,0.5963,0.5798,0.5897
120,0.6381,0.5473,0.5931
121,0.3735,0.2541,0.3140
122,-0.2407,0.3955,-0.0068
123,0.8388,0.6972,0.7662
124,0.1759,0.0882,0.1340
125,0.2677,0.4266,0.3453
126,1.0000,1.0000,1.0000
127,0.0043,0.5835,0.2355
128,0.2860,0.3246,0.3078
129,0.1132,0.5202,0.2897
130,0.2662,0.5166,0.3832
131,0.5346,0.2078,0.3553
132,0.7414,0.7459,0.7447
133,0.9752,0.9752,0.9753
134,-0.1422,0.0814,-0.0383
135,0.6482,0.7080,0.6789
136,0.2238,0.1839,0.2067
137,0.8114,0.8356,0.8241
138,0.2328,0.5662,0.3830
139,0.6635,0.8039,0.7320
140,0.6110,0.0687,0.2907
141,0.0911,0.6675,0.3247
142,0.7065,0.2638,0.4559
143,-0.0438,0.4272,0.1511
144,0.5084,0.6294,0.5684
145,0.0177,0.3007,0.1463
146,0.6165,0.3530,0.4758
147,0.7604,0.3087,0.5048
148,0.8028,0.6078,0.7011
149,0.7430,0.3823,0.5446
150,0.2412,0.2970,0.2715
151,0.3635,0.5601,0.4577
152,0.6165,-0.1342,0.1373
153,0.7624,0.7042,0.7339
154,0.9761,0.9398,0.9580
155,0.1492,0.3267,0.2350
156,0.0829,0.4369,0.2393
157,1.0000,1.0000,1.0000
158,0.5640,0.9267,0.7283
159,0.4889,0.5703,0.5305
160,0.6401,0.4711,0.5530
161,0.4981,0.3370,0.4156
162,0.4689,0.6261,0.5455
163,0.9435,0.5720,0.7399
164,0.3144,0.3717,0.3451
165,0.5953,0.7786,0.6834
166,0.4637,0.5714,0.5176
167,0.8444,0.8305,0.8381
168,0.0647,0.3258,0.1851
169,0.5258,0.8484,0.6736
170,0.5168,0.4255,0.4720
171,0.5857,0.6836,0.6347
172,0.7632,0.6155,0.6875
173,0.7817,0.5374,0.6524
174,0.6594,0.2612,0.4367
175,0.1532,0.2240,0.1909
176,0.7870,0.6984,0.7427
177,0.8349,0.4522,0.6237
178,0.4040,0.4916,0.4487
179,0.1864,0.8013,0.4357
180,0.5763,0.2988,0.4272
181,0.4130,0.4416,0.4294
182,0.6920,0.6244,0.6589
183,0.9094,0.5024,0.6839
184,0.4807,0.7086,0.5885
185,0.6341,0.1902,0.3814
186,0.4516,0.3344,0.3931
187,0.7076,0.6899,0.6999
188,0.8878,0.6017,0.7345
189,0.3444,0.7930,0.5398
190,0.7754,0.5600,0.6624
191,0.8792,0.9139,0.8968
192,0.3537,0.7642,0.5349
193,0.4008,0.3347,0.3696
194,1.0000,1.0000,1.0000
195,0.7242,0.5866,0.6541
196,-0.0989,0.5522,0.1482
197,0.6263,0.4622,0.5419
198,0.7464,0.6584,0.7025
199,0.9584,0.7573,0.8532
